field-type,url-handle,title,description,price,compare-at-price,sku,status,type,product-image-url,product-image-alt-text,inventory,category,product-option-name-1,product-option-value-1,seo-title,seo-description,custom-field-name-1,custom-field-type-1,custom-field-value-1
product,handmade-wooden-bowl,Handmade Wooden Bowl,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",39,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/wooden-design-salad-bowl.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/wooden-design-salad-bowl-view2.jpg,,IN STOCK,Dining room,Size,Small;Medium;large,,,,,
variant,,Handmade Wooden Bowl,,39,,,SHOW,,,,IN STOCK,,Size,Small,,,,,
variant,,Handmade Wooden Bowl,,39,,,SHOW,,,,IN STOCK,,Size,Medium,,,,,
variant,,Handmade Wooden Bowl,,39,,,SHOW,,,,IN STOCK,,Size,large,,,,,
product,pure-cotton-bedding-set,Pure cotton bedding set,"<p>This is where you should describe the product. Tell your website visitors what's special about it, why they should have this, and maybe provide any other bit of info you feel is important.</p>",200,,52,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/beige-bed-linen-product-1.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/beige-bed-linen-img2.jpg,,IN STOCK,Bedroom;Bedroom>Bedlinen;Bedroom>Pillows,Color,Beige;Grey;blue,,,,,
variant,,Pure cotton bedding set,,200,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/beige-bed-linen-product-1.jpg,,IN STOCK,,Color,Beige,,,,,
variant,,Pure cotton bedding set,,200,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-bed-linen-product-1.jpg,,IN STOCK,,Color,Grey,,,,,
variant,,Pure cotton bedding set,,200,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blue-bed-linen-product-1.jpg,,IN STOCK,,Color,blue,,,,,
product,recycle-wood-stool,Recycle Wood Stool,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",115,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/scandinavian-wooden-stool.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/scandinavian-wooden-stool-view2.jpg,,IN STOCK,Bedroom;Dining room,,,,,,,
product,grey-ceramic-plate,Grey Ceramic plate,"<p>This is where you should describe the product. Tell your website visitors what's special about it, why they should have this, and maybe provide any other bit of info you feel is important.</p>",43,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-ceramic-plate-view1.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-ceramic-plate-set-view2.jpg,,IN STOCK,Dining room,Size,Small;Medium;large,,,,,
