type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_description,product_is_featured,product_is_featured_order_by,product_brand,product_upc,product_weight,product_is_shipping_required,product_length,product_width,product_height,product_shipping_preparation_time_for_shipping_in_days,product_shipping_preparation_time_for_pickup_in_minutes,product_shipping_preparation_time_for_local_delivery_in_minutes,product_shipping_preparation_time_for_preorders_in_days,product_shipping_show_delivery_date_on_the_product_page,product_tax_class_code,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_custom_price_enabled,product_subscription_enabled,product_subscription_one_time_purchase_enabled,product_subscription_one_time_purchase_price,product_subscription_price_with_signup_fee,product_subscription_recurring_interval,product_subscription_recurring_interval_count,product_google_product_category_code,source_store_id,url
product,701425799,89,【2020最新】UPROS  純淨版安博電視盒,4980.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>商品特色
支持5G的UPROS 終於面世了，U-PRO 安博盒子UPRO S台灣版藍芽智慧電視盒，電視盒的時代真的來臨了！每個月繳錢給第四台業者又沒什麼節目可以看？上網追劇找不到片源，一台優質電視盒解決您所有煩惱，安博網絡高清機上盒新2019年六月版火爆上市，UPROS限量搶先上市，睽違已久的硬體大改版來了，三大升級一次滿足你。一堆免費網站被封，沒得追劇，安博讓你在疫情追劇不卡住。

(*)安博X9 PRO S 2G+32G升級限定版 
(*)原廠內建越獄功能，不再受限地區限制
(*)使用Andorid7.0 軟體更相容更順暢
(*)硬體提升記憶體1G→2G 內存16G→32G
(*)網路晶片升級成 ""雙頻無線WIFI""，WIFI協定多一種2.4G->2.4G/5G雙頻
(*)全新介面優化</p>",true,2595,,,0.0,true,0.0,0.0,0.0,,,,,false,,【2020最新】UPROS  純淨版安博電視盒,"描述 
 商品特色
支持5G的UPROS 終於面世了，U-PRO 安博盒子UPRO S台灣版藍芽智慧電視盒，電視盒的時代真的來臨了！每個月繳錢給第四台業者又沒什麼節目可以看？上網追劇找不到片源，一台優質電視盒解決您所有煩惱，安博網絡高清機上盒新2019年六月版火爆上市，UPROS限量搶先上市，睽違已久的硬體大改版來了，三大升級一次滿足你。一堆免費網站被封，沒得追劇，安博讓你在疫情追劇不卡住。

(*)安博X9 PRO S 2G+32G升級限定版 
(*)原廠內建越獄功能，不再受限地區限制
(*)使用Andorid7.0 軟體更相容更順暢
(*)硬體提升記憶體1G→2G 內存16G→32G…",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/2020Zui-Xin-UPROS-Chun-Jing-Ban-An-Bo-Dian-Shi-He-p701425799
product,701426020,66,LIDAK美國筋膜按摩槍【最新款】,3990.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>【商品特色】
真正的30檔超強震動，帶給你不同的新體驗
多核智能芯片，有效降噪、提高速度，升級更爽
便利觸控面板，可簡單調整段數，簡單使用更輕鬆
讓疲勞不再上身，緩解痠痛還可順便健身

六種按摩頭，全身都適用，可隨時更換放鬆全身各種酸痛不適呦
✯ 球型頭 ▸ 用於大肌肉群，手臂、腰背、臀部、大小腿
✯ U型頭 ▸ 用於脊椎旁，頸部、脊椎、跟腱處
✯ 扁平頭 ▸ 放鬆肌肉部位，全身有肌肉的部位都適用
✯ 氣塞頭 ▸ 全身骨骼都適用
✯ 圓柱頭 ▸ 衝擊深層組織，經絡、關節、手掌、足底
✯ 小平頭 ▸ 適合雕刻肌肉，腹部腹肌的肌肉線條雕刻

顯示檔次：共30檔 顯示電量*滿電是99 減檔鍵 啟動/暫停鍵 加檔鍵
肩部肌群15s~20s*3次
胸部肌群30s*1次
背部肌群30s~60s*3次
臀部肌群30s~60s*4次
下肢肌群20s~30s*3次

注意事項
❶ 使用中，請勿觸摸、按壓按摩頭。
❷ 請勿直接衝擊關節，按摩槍只適用肌肉組織，如果直接按摩關節，等同於用石頭敲關節，容易造成關節損傷。
❸有些部位絕對禁止使用，例如：頸脖、胸腹腔、液窩等肌肉厚度較薄的部位。
❹ 不是時間越長，就越有效，同一部位使用時間請在1分以內，請勿使用過度。
❺ 嬰幼兒、未成年、孕婦、配戴起博器、骨折、體內有金屬物者，皆請勿使用。
產地：中國</p>",true,2564,,,0.0,true,0.0,0.0,0.0,,,,,false,,LIDAK美國筋膜按摩槍【最新款】,"描述 
 【商品特色】
真正的30檔超強震動，帶給你不同的新體驗
多核智能芯片，有效降噪、提高速度，升級更爽
便利觸控面板，可簡單調整段數，簡單使用更輕鬆
讓疲勞不再上身，緩解痠痛還可順便健身

六種按摩頭，全身都適用，可隨時更換放鬆全身各種酸痛不適呦
✯ 球型頭 ▸ 用於大肌肉群，手臂、腰背、臀部、大小腿
✯ U型頭 ▸ 用於脊椎旁，頸部、脊椎、跟腱處
✯ 扁平頭 ▸ 放鬆肌肉部位，全身有肌肉的部位都適用
✯ 氣塞頭 ▸ 全身骨骼都適用
✯ 圓柱頭 ▸ 衝擊深層組織，經絡、關節、手掌、足底
✯ 小平頭 ▸ 適合雕刻肌肉，腹部腹肌的肌肉線條雕刻

顯示檔次：共30檔 顯示電量*滿電是99…",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/LIDAKMei-Guo-Jin-Mo-An-Mo-Qiang-Zui-Xin-Kuan-p701426020
product,701418897,1,《完售》樹家精選手工炒大顆腰果,3000.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>天天適量堅果～生病遠離我！

腰果一直都是大人小孩都愛吃的零嘴

富含礦物質和維生素A、維生素B1、維生素B2

富含油脂屬 Omega 3脂肪酸

對身體很有好處的</p>",true,2598,,,0.0,true,0.0,0.0,0.0,,,,,false,,《完售》樹家精選手工炒大顆腰果,"描述 
 天天適量堅果～生病遠離我！

腰果一直都是大人小孩都愛吃的零嘴

富含礦物質和維生素A、維生素B1、維生素B2

富含油脂屬 Omega 3脂肪酸

對身體很有好處的",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Wan-Shou-Shu-Jia-Jing-Xuan-Shou-Gong-Chao-Da-Ke-Yao-Guo-p701418897
product,701417871,07890,寵物加強版除跳蚤項圈(帶鈴鐺),699.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,2009,,,0.0,true,0.0,0.0,0.0,,,,,false,,寵物加強版除跳蚤項圈(帶鈴鐺),"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Chong-Wu-Jia-Qiang-Ban-Chu-Tiao-Zao-Xiang-Quan-Dai-Ling-Dang-p701417871
product,701417991,09524,寵物用仿鹿皮吸水毛巾,499.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,2447,,,0.0,true,0.0,0.0,0.0,,,,,false,,寵物用仿鹿皮吸水毛巾,"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Chong-Wu-Yong-Fang-Lu-Pi-Xi-Shui-Mao-Jin-p701417991
product,701416569,18424,小熊小兔不銹鋼保溫便攜水杯,999.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,422,,,0.0,true,0.0,0.0,0.0,,,,,false,,小熊小兔不銹鋼保溫便攜水杯,"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Xiao-Xiong-Xiao-Tu-Bu-Xiu-Gang-Bao-Wen-Bian-Xi-Shui-Bei-p701416569
product,701418545,10017,小熊貼式暖暖包,999.00,,false,0,,1,,,true,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,2200,,,0.0,true,0.0,0.0,0.0,,,,,false,,小熊貼式暖暖包,"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Xiao-Xiong-Tie-Shi-Nuan-Nuan-Bao-p701418545
product,701417762,16848,小熊黑膠自動傘,999.00,,false,0,,1,,,false,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,1547,,,0.0,true,0.0,0.0,0.0,,,,,false,,小熊黑膠自動傘,"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Xiao-Xiong-Hei-Jiao-Zi-Dong-San-p701417762
product,701417028,09788,小白鞋清潔膏(1組2盒),499.00,,false,0,,1,,,false,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,910,,,0.0,true,0.0,0.0,0.0,,,,,false,,小白鞋清潔膏(1組2盒),"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Xiao-Bai-Xie-Qing-Jie-Gao-1Zu-2He-p701417028
product,701418361,20354,小紅書手提貝殼化妝包,999.00,,false,0,,1,,,false,,,"<p><strong>描述</strong></p>
<p>在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。</p>
<p>想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。</p>
<p><strong>詳情</strong></p>
<ul>
    <li>有機棉/聚酯纖維混紡</li>
    <li>有紅色、橙色和綠色可供選擇</li>
    <li>購買後60天內全額退款</li>
</ul>",true,2384,,,0.0,true,0.0,0.0,0.0,,,,,false,,小紅書手提貝殼化妝包,"描述 
 在這裡描述產品，不要害羞！告訴訪客這個產品的獨特優勢和優點。為什麼這個產品特別？為什麼它比其他類似產品更好？提供足夠的細節，讓決定購買的人確切知道會期望什麼。 
 想一想誰可能想購買這個產品，然後用生動的形容詞和描述吸引他們並說服他們購買。如果產品有多種顏色、尺寸和形狀，別忘了提到這一點。 
 詳情 
 
 有機棉/聚酯纖維混紡 
 有紅色、橙色和綠色可供選擇 
 購買後60天內全額退款",,,false,,5,false,,,,,,,,108962065,http://hobbies_store.sandbox.multiscreensite.com/store/Xiao-Hong-Shu-Shou-Ti-Bei-Ke-Hua-Zhuang-Bao-p701418361
